-182.623, 71.786, 2.348,  4.603
-182.611, 71.710, 2.312,  4.636
-182.600, 71.635, 2.297,  4.669
-182.588, 71.559, 2.310,  4.702
-182.576, 71.482, 2.358,  4.735
-182.563, 71.402, 2.427,  4.768
-182.550, 71.320, 2.490,  4.801
-182.538, 71.237, 2.521,  4.834
-182.525, 71.154, 2.520,  4.867
-182.512, 71.071, 2.498,  4.900
-182.500, 70.990, 2.454,  4.933
-182.488, 70.911, 2.416,  4.966
-182.476, 70.832, 2.396,  4.999
-182.464, 70.753, 2.405,  5.032
-182.452, 70.673, 2.448,  5.065
-182.439, 70.590, 2.515,  5.098
-182.427, 70.505, 2.578,  5.131
-182.414, 70.419, 2.611,  5.164
-182.401, 70.333, 2.611,  5.197
-182.388, 70.247, 2.588,  5.230
-182.376, 70.163, 2.544,  5.263
-182.364, 70.081, 2.504,  5.296
-182.352, 69.999, 2.483,  5.329
-182.340, 69.917, 2.490,  5.362
-182.329, 69.834, 2.531,  5.395
-182.316, 69.748, 2.598,  5.428
-182.304, 69.661, 2.661,  5.461
-182.291, 69.571, 2.696,  5.494
-182.279, 69.482, 2.696,  5.527
-182.266, 69.394, 2.674,  5.560
-182.254, 69.307, 2.629,  5.593
-182.243, 69.221, 2.588,  5.626
-182.231, 69.137, 2.566,  5.659
-182.220, 69.052, 2.571,  5.692
-182.208, 68.966, 2.610,  5.725
-182.196, 68.878, 2.676,  5.758
-182.184, 68.788, 2.738,  5.791
-182.172, 68.696, 2.772,  5.824
-182.160, 68.604, 2.771,  5.857
-182.148, 68.513, 2.748,  5.890
-182.136, 68.424, 2.702,  5.923
-182.125, 68.336, 2.660,  5.956
-182.114, 68.249, 2.635,  5.989
-182.103, 68.162, 2.639,  6.022
-182.091, 68.074, 2.677,  6.055
-182.080, 67.984, 2.741,  6.088
-182.069, 67.891, 2.804,  6.121
-182.057, 67.797, 2.844,  6.154
-182.045, 67.702, 2.846,  6.187
-182.034, 67.609, 2.823,  6.220
-182.023, 67.517, 2.778,  6.253
-182.012, 67.426, 2.736,  6.286
-182.001, 67.337, 2.712,  6.319
-181.991, 67.247, 2.714,  6.352
-181.980, 67.156, 2.750,  6.385
-181.969, 67.063, 2.814,  6.418
-181.959, 66.968, 2.880,  6.451
-181.948, 66.871, 2.926,  6.484
-181.937, 66.774, 2.934,  6.517
-181.926, 66.677, 2.915,  6.550
-181.915, 66.582, 2.873,  6.583
-181.905, 66.488, 2.832,  6.616
-181.895, 66.395, 2.808,  6.649
-181.885, 66.302, 2.810,  6.682
-181.875, 66.208, 2.845,  6.715
-181.865, 66.112, 2.908,  6.748
-181.854, 66.014, 2.974,  6.781
-181.844, 65.913, 3.022,  6.814
-181.834, 65.813, 3.031,  6.847
-181.824, 65.713, 3.012,  6.880
-181.814, 65.614, 2.971,  6.913
-181.804, 65.517, 2.930,  6.946
-181.795, 65.421, 2.904,  6.979
-181.785, 65.325, 2.904,  7.012
-181.776, 65.227, 2.938,  7.045
-181.766, 65.128, 2.999,  7.078
-181.757, 65.027, 3.068,  7.111
-181.747, 64.923, 3.122,  7.144
-181.738, 64.818, 3.139,  7.177
-181.728, 64.715, 3.124,  7.210
-181.719, 64.612, 3.086,  7.243
-181.710, 64.511, 3.046,  7.276
-181.701, 64.411, 3.020,  7.309
-181.693, 64.311, 3.020,  7.342
-181.684, 64.210, 3.052,  7.375
-181.676, 64.107, 3.112,  7.408
-181.667, 64.001, 3.180,  7.441
-181.658, 63.894, 3.232,  7.474
-181.649, 63.786, 3.248,  7.507
-181.641, 63.678, 3.231,  7.540
-181.632, 63.572, 3.191,  7.573
-181.624, 63.467, 3.149,  7.606
-181.616, 63.364, 3.121,  7.639
-181.608, 63.260, 3.118,  7.672
-181.601, 63.156, 3.148,  7.705
-181.593, 63.050, 3.208,  7.738
-181.585, 62.941, 3.280,  7.771
-181.577, 62.830, 3.339,  7.804
-181.569, 62.718, 3.365,  7.837
-181.561, 62.606, 3.355,  7.870
-181.554, 62.495, 3.318,  7.903
-181.547, 62.387, 3.272,  7.936
-181.539, 62.279, 3.232,  7.969
-181.533, 62.173, 3.211,  8.002
-181.526, 62.066, 3.220,  8.035
-181.519, 61.958, 3.263,  8.068
-181.512, 61.847, 3.331,  8.101
-181.505, 61.734, 3.400,  8.134
-181.498, 61.619, 3.450,  8.167
-181.492, 61.504, 3.461,  8.200
-181.485, 61.389, 3.440,  8.233
-181.478, 61.276, 3.395,  8.266
-181.472, 61.165, 3.350,  8.299
-181.466, 61.054, 3.317,  8.332
-181.460, 60.944, 3.309,  8.365
-181.455, 60.834, 3.335,  8.398
-181.449, 60.721, 3.394,  8.431
-181.443, 60.606, 3.471,  8.464
-181.437, 60.488, 3.542,  8.497
-181.431, 60.368, 3.583,  8.530
-181.425, 60.249, 3.585,  8.563
-181.420, 60.130, 3.556,  8.596
-181.415, 60.013, 3.505,  8.629
-181.409, 59.899, 3.454,  8.662
-181.404, 59.785, 3.416,  8.695
-181.400, 59.672, 3.404,  8.728
-181.395, 59.558, 3.425,  8.761
-181.390, 59.443, 3.481,  8.794
-181.385, 59.324, 3.556,  8.827
-181.381, 59.204, 3.629,  8.860
-181.376, 59.081, 3.678,  8.893
-181.371, 58.958, 3.687,  8.926
-181.367, 58.836, 3.662,  8.959
-181.362, 58.715, 3.615,  8.992
-181.358, 58.596, 3.566,  9.025
-181.354, 58.479, 3.529,  9.058
-181.350, 58.362, 3.517,  9.091
-181.347, 58.244, 3.538,  9.124
-181.343, 58.125, 3.593,  9.157
-181.339, 58.003, 3.667,  9.190
-181.335, 57.879, 3.744,  9.223
-181.332, 57.752, 3.801,  9.256
-181.328, 57.624, 3.821,  9.289
-181.325, 57.497, 3.803,  9.322
-181.321, 57.372, 3.760,  9.355
-181.318, 57.248, 3.714,  9.388
-181.315, 57.126, 3.678,  9.421
-181.312, 57.004, 3.666,  9.454
-181.309, 56.881, 3.686,  9.487
-181.306, 56.757, 3.740,  9.520
-181.304, 56.630, 3.813,  9.553
-181.301, 56.501, 3.890,  9.586
-181.298, 56.369, 3.948,  9.619
-181.296, 56.237, 3.970,  9.652
-181.293, 56.105, 3.952,  9.685
-181.291, 55.974, 3.910,  9.718
-181.288, 55.846, 3.863,  9.751
-181.286, 55.718, 3.826,  9.784
-181.284, 55.592, 3.812,  9.817
-181.282, 55.464, 3.830,  9.850
-181.280, 55.335, 3.881,  9.883
-181.278, 55.204, 3.954,  9.916
-181.277, 55.069, 4.035,  9.949
-181.275, 54.933, 4.102,  9.982
-181.273, 54.795, 4.135, 10.015
-181.272, 54.657, 4.127, 10.048
-181.270, 54.520, 4.092, 10.081
-181.269, 54.386, 4.049, 10.114
-181.267, 54.252, 4.014, 10.147
-181.266, 54.119, 4.000, 10.180
-181.265, 53.985, 4.018, 10.213
-181.264, 53.850, 4.067, 10.246
-181.263, 53.713, 4.137, 10.279
-181.262, 53.572, 4.211, 10.312
-181.261, 53.430, 4.270, 10.345
-181.260, 53.287, 4.293, 10.378
-181.259, 53.144, 4.276, 10.411
-181.258, 53.003, 4.233, 10.444
-181.258, 52.864, 4.183, 10.477
-181.257, 52.726, 4.143, 10.510
-181.257, 52.588, 4.124, 10.543
-181.256, 52.451, 4.137, 10.576
-181.256, 52.312, 4.182, 10.609
-181.256, 52.171, 4.251, 10.642
-181.256, 52.026, 4.333, 10.675
-181.255, 51.879, 4.405, 10.708
-181.255, 51.731, 4.447, 10.741
-181.255, 51.583, 4.447, 10.774
-181.255, 51.435, 4.415, 10.807
-181.255, 51.290, 4.371, 10.840
-181.255, 51.145, 4.329, 10.873
-181.255, 51.002, 4.304, 10.906
-181.256, 50.859, 4.307, 10.939
-181.256, 50.715, 4.342, 10.972
-181.256, 50.568, 4.403, 11.005
-181.257, 50.419, 4.478, 11.038
-181.257, 50.268, 4.545, 11.071
-181.258, 50.115, 4.584, 11.104
-181.258, 49.962, 4.581, 11.137
-181.259, 49.810, 4.548, 11.170
-181.259, 49.660, 4.504, 11.203
-181.260, 49.511, 4.466, 11.236
-181.261, 49.363, 4.447, 11.269
-181.261, 49.215, 4.457, 11.302
-181.262, 49.066, 4.499, 11.335
-181.263, 48.914, 4.564, 11.368
-181.264, 48.759, 4.641, 11.401
-181.265, 48.602, 4.709, 11.434
-181.266, 48.444, 4.747, 11.467
-181.267, 48.286, 4.743, 11.500
-181.268, 48.129, 4.708, 11.533
-181.269, 47.973, 4.663, 11.566
-181.270, 47.819, 4.622, 11.599
-181.271, 47.666, 4.600, 11.632
-181.272, 47.513, 4.607, 11.665
